Ny,M,nsystems,mode,blocksize,median_us,allocated_bytes,speedup_vs_scalar
33,17,256,scalar,0,20.468,0,1.000
33,17,256,packed,32,11.840,0,1.729
33,17,256,roundtrip,32,23.706,0,0.863
33,17,256,packed,64,12.640,0,1.619
33,17,256,roundtrip,64,19.202,0,1.066
33,17,256,packed,128,14.302,0,1.431
33,17,256,roundtrip,128,16.134,0,1.269
33,17,256,packed,256,12.321,0,1.661
33,17,256,roundtrip,256,19.372,0,1.057
33,17,4096,scalar,0,439.198,0,1.000
33,17,4096,packed,32,278.737,0,1.576
33,17,4096,roundtrip,32,480.542,0,0.914
33,17,4096,packed,64,282.564,0,1.554
33,17,4096,roundtrip,64,365.289,0,1.202
33,17,4096,packed,128,210.725,0,2.084
33,17,4096,roundtrip,128,500.875,0,0.877
33,17,4096,packed,256,189.810,0,2.314
33,17,4096,roundtrip,256,338.768,0,1.296
65,33,256,scalar,0,61.370,0,1.000
65,33,256,packed,32,25.818,0,2.377
65,33,256,roundtrip,32,50.987,0,1.204
65,33,256,packed,64,23.231,0,2.642
65,33,256,roundtrip,64,36.218,0,1.694
65,33,256,packed,128,32.446,0,1.891
65,33,256,roundtrip,128,31.136,0,1.971
65,33,256,packed,256,22.142,0,2.772
65,33,256,roundtrip,256,35.165,0,1.745
65,33,4096,scalar,0,919.458,0,1.000
65,33,4096,packed,32,600.685,0,1.531
65,33,4096,roundtrip,32,1046.917,0,0.878
65,33,4096,packed,64,647.713,0,1.420
65,33,4096,roundtrip,64,760.167,0,1.210
65,33,4096,packed,128,492.177,0,1.868
65,33,4096,roundtrip,128,1065.400,0,0.863
65,33,4096,packed,256,452.256,0,2.033
65,33,4096,roundtrip,256,846.026,0,1.087
129,65,256,scalar,0,154.657,0,1.000
129,65,256,packed,32,67.942,0,2.276
129,65,256,roundtrip,32,67.519,0,2.291
129,65,256,packed,64,44.895,0,3.445
129,65,256,roundtrip,64,94.485,0,1.637
129,65,256,packed,128,41.259,0,3.748
129,65,256,roundtrip,128,65.504,0,2.361
129,65,256,packed,256,53.111,0,2.912
129,65,256,roundtrip,256,64.607,0,2.394
129,65,4096,scalar,0,2748.979,0,1.000
129,65,4096,packed,32,1602.250,0,1.716
129,65,4096,roundtrip,32,2488.812,0,1.105
129,65,4096,packed,64,1074.225,0,2.559
129,65,4096,roundtrip,64,2580.889,0,1.065
129,65,4096,packed,128,1043.569,0,2.634
129,65,4096,roundtrip,128,2583.146,0,1.064
129,65,4096,packed,256,915.757,0,3.002
129,65,4096,roundtrip,256,1924.417,0,1.428
