solver,Ny,systems,samples,cpu_solve_seconds,cpu_update_seconds,gpu_solve_seconds,gpu_update_seconds,solve_speedup,update_speedup
helmholtz,8,64,500,1.66346587e-06,1.8548591e-06,NaN,NaN,NaN,NaN
helmholtz,8,256,500,6.90364583e-06,6.68978767e-06,NaN,NaN,NaN,NaN
helmholtz,8,1024,500,2.85321429e-05,3.00353333e-05,NaN,NaN,NaN,NaN
helmholtz,8,4096,500,0.000119786375,0.000114166667,NaN,NaN,NaN,NaN
helmholtz,8,16384,500,0.0004808125,0.000458972333,NaN,NaN,NaN,NaN
helmholtz,8,65536,500,0.001960334,0.001829458,NaN,NaN,NaN,NaN
helmholtz,16,64,500,3.95883871e-06,4.38252863e-06,NaN,NaN,NaN,NaN
helmholtz,16,256,500,1.7049569e-05,1.62520492e-05,NaN,NaN,NaN,NaN
helmholtz,16,1024,500,6.87583333e-05,7.51517857e-05,NaN,NaN,NaN,NaN
helmholtz,16,4096,500,0.0002805105,0.0002682395,NaN,NaN,NaN,NaN
helmholtz,16,16384,500,0.001139334,0.001102542,NaN,NaN,NaN,NaN
helmholtz,16,65536,500,0.004619958,0.004688,NaN,NaN,NaN,NaN
helmholtz,32,64,500,8.88459292e-06,8.9382716e-06,NaN,NaN,NaN,NaN
helmholtz,32,256,500,3.61770833e-05,3.64137143e-05,NaN,NaN,NaN,NaN
helmholtz,32,1024,500,0.000146178571,0.000161446429,NaN,NaN,NaN,NaN
helmholtz,32,4096,500,0.000594375,0.0005638955,NaN,NaN,NaN,NaN
helmholtz,32,16384,500,0.002412833,0.002890416,NaN,NaN,NaN,NaN
helmholtz,32,65536,500,0.009991417,0.010100292,NaN,NaN,NaN,NaN
helmholtz,64,64,500,1.82232143e-05,1.79947857e-05,NaN,NaN,NaN,NaN
helmholtz,64,256,500,7.56934286e-05,7.66858462e-05,NaN,NaN,NaN,NaN
helmholtz,64,1024,500,0.000301125,0.000335541667,NaN,NaN,NaN,NaN
helmholtz,64,4096,500,0.001228042,0.001139208,NaN,NaN,NaN,NaN
helmholtz,64,16384,500,0.005002542,0.004795875,NaN,NaN,NaN,NaN
helmholtz,64,65536,500,0.0207035,0.021447208,NaN,NaN,NaN,NaN
helmholtz,128,64,500,3.68703704e-05,3.8071e-05,NaN,NaN,NaN,NaN
helmholtz,128,256,500,0.000156869,0.000156535714,NaN,NaN,NaN,NaN
helmholtz,128,1024,500,0.0006095,0.000687896,NaN,NaN,NaN,NaN
helmholtz,128,4096,500,0.002524375,0.00231875,NaN,NaN,NaN,NaN
helmholtz,128,16384,500,0.010355916,0.013055042,NaN,NaN,NaN,NaN
helmholtz,128,65536,500,0.042544875,0.043280834,NaN,NaN,NaN,NaN
helmholtz,256,64,500,7.70946364e-05,7.75223846e-05,NaN,NaN,NaN,NaN
helmholtz,256,256,500,0.00032503125,0.0003170625,NaN,NaN,NaN,NaN
helmholtz,256,1024,500,0.00127525,0.001394875,NaN,NaN,NaN,NaN
helmholtz,256,4096,500,0.005397791,0.007523875,NaN,NaN,NaN,NaN
helmholtz,256,16384,500,0.021653833,0.027688875,NaN,NaN,NaN,NaN
helmholtz,256,65536,500,0.087309625,0.089603625,NaN,NaN,NaN,NaN
helmholtz,512,64,500,0.0001556355,0.000155898857,NaN,NaN,NaN,NaN
helmholtz,512,256,500,0.0006583125,0.000643354,NaN,NaN,NaN,NaN
helmholtz,512,1024,500,0.002659541,0.002884042,NaN,NaN,NaN,NaN
helmholtz,512,4096,500,0.010863458,0.010246209,NaN,NaN,NaN,NaN
helmholtz,512,16384,500,0.043394333,0.0419025,NaN,NaN,NaN,NaN
helmholtz,512,65536,500,0.172801,0.26373625,NaN,NaN,NaN,NaN
helmholtz,1024,64,500,0.00031546875,0.000314104,NaN,NaN,NaN,NaN
helmholtz,1024,256,500,0.001323083,0.001298958,NaN,NaN,NaN,NaN
helmholtz,1024,1024,500,0.005567375,0.005887541,NaN,NaN,NaN,NaN
helmholtz,1024,4096,500,0.022361916,0.020619125,NaN,NaN,NaN,NaN
helmholtz,1024,16384,500,0.087201167,0.082801542,NaN,NaN,NaN,NaN
helmholtz,1024,65536,500,0.349159459,0.344216917,NaN,NaN,NaN,NaN
coupled,8,64,500,5.14270466e-06,1.45441176e-05,NaN,NaN,NaN,NaN
coupled,8,256,500,2.15771277e-05,5.77916471e-05,NaN,NaN,NaN,NaN
coupled,8,1024,500,8.777775e-05,0.000266104,NaN,NaN,NaN,NaN
coupled,8,4096,500,0.000390791667,0.001047292,NaN,NaN,NaN,NaN
coupled,8,16384,500,0.001470042,0.0045205,NaN,NaN,NaN,NaN
coupled,8,65536,500,0.005988334,0.018109041,NaN,NaN,NaN,NaN
coupled,16,64,500,1.15761494e-05,3.06048182e-05,NaN,NaN,NaN,NaN
coupled,16,256,500,4.74781429e-05,0.000126567625,NaN,NaN,NaN,NaN
coupled,16,1024,500,0.000191743,0.000561,NaN,NaN,NaN,NaN
coupled,16,4096,500,0.000800333,0.0022295,NaN,NaN,NaN,NaN
coupled,16,16384,500,0.003192125,0.009179583,NaN,NaN,NaN,NaN
coupled,16,65536,500,0.013204542,0.045516209,NaN,NaN,NaN,NaN
coupled,32,64,500,2.36821628e-05,6.2158875e-05,NaN,NaN,NaN,NaN
coupled,32,256,500,9.84961818e-05,0.0002615625,NaN,NaN,NaN,NaN
coupled,32,1024,500,0.000394305667,0.001158583,NaN,NaN,NaN,NaN
coupled,32,4096,500,0.001695791,0.004481625,NaN,NaN,NaN,NaN
