solver,Ny,systems,samples,cpu_solve_seconds,cpu_update_seconds,gpu_solve_seconds,gpu_update_seconds,solve_speedup,update_speedup,source_file
helmholtz,8,64,500,2.05672785e-06,1.90229457e-06,1.44208276e-05,0.000403008333,0.142622,0.004720,runs/a100-92072b1.csv
helmholtz,8,256,500,8.5357265e-06,7.50746099e-06,1.40582667e-05,0.0004983955,0.607168,0.015063,runs/a100-92072b1.csv
helmholtz,8,1024,500,3.30039333e-05,2.95846765e-05,1.47335517e-05,0.0005179415,2.240053,0.057120,runs/a100-92072b1.csv
helmholtz,8,4096,500,0.000142070375,0.000116353111,1.46818667e-05,0.000565459,9.676588,0.205768,runs/a100-92072b1.csv
helmholtz,8,16384,500,0.0006160495,0.000548879,1.48737586e-05,0.0005712045,41.418549,0.960915,runs/a100-92072b1.csv
helmholtz,8,65536,500,0.003832043,0.002631116,2.45247273e-05,0.0005941065,156.252217,4.428694,runs/a100-92072b1.csv
helmholtz,16,64,500,5.40672678e-06,4.5350892e-06,1.55883214e-05,0.000414650333,0.346845,0.010937,runs/a100-92072b1.csv
helmholtz,16,256,500,2.07551458e-05,1.85233333e-05,1.655275e-05,0.0005271495,1.253879,0.035139,runs/a100-92072b1.csv
helmholtz,16,1024,500,8.25711667e-05,8.24248462e-05,1.7253037e-05,0.000535898,4.785892,0.153807,runs/a100-92072b1.csv
helmholtz,16,4096,500,0.000378026333,0.000334257667,1.79871154e-05,0.0005923345,21.016507,0.564306,runs/a100-92072b1.csv
helmholtz,16,16384,500,0.001489647,0.00148019,1.888708e-05,0.000618604,78.871218,2.392791,runs/a100-92072b1.csv
helmholtz,16,65536,500,0.009797031,0.007084375,6.77821111e-05,0.000694905,144.537118,10.194739,runs/a100-92072b1.csv
helmholtz,32,64,500,1.1224e-05,9.98965e-06,2.9183e-05,0.0006024895,0.384607,0.016581,runs/a100-92072b1.csv
helmholtz,32,256,500,4.330075e-05,4.2890375e-05,3.189685e-05,0.0005508845,1.357524,0.077857,runs/a100-92072b1.csv
helmholtz,32,1024,500,0.000188076667,0.000154733571,3.26686842e-05,0.000715216,5.757093,0.216345,runs/a100-92072b1.csv
helmholtz,32,4096,500,0.000720068,0.0007325215,3.40060526e-05,0.00082714,21.174701,0.885608,runs/a100-92072b1.csv
helmholtz,32,16384,500,0.003353177,0.002886632,7.2967875e-05,0.000791961,45.954154,3.644917,runs/a100-92072b1.csv
helmholtz,32,65536,500,0.024050533,0.018334816,0.000165517,0.000895144,145.305515,20.482532,runs/a100-92072b1.csv
helmholtz,64,64,500,2.19267391e-05,2.0785625e-05,6.02045556e-05,0.0007383975,0.364204,0.028150,runs/a100-92072b1.csv
helmholtz,64,256,500,8.85766667e-05,7.831e-05,6.70656667e-05,0.000810035,1.320745,0.096675,runs/a100-92072b1.csv
helmholtz,64,1024,500,0.00035995,0.000346035333,6.8684875e-05,0.000745125,5.240601,0.464399,runs/a100-92072b1.csv
