solver,Ny,systems,samples,cpu_solve_seconds,cpu_update_seconds,gpu_solve_seconds,gpu_update_seconds,solve_speedup,update_speedup
helmholtz,8,64,500,1.66872867e-06,1.87406367e-06,NaN,NaN,NaN,NaN
helmholtz,8,256,500,6.86596503e-06,6.69444667e-06,NaN,NaN,NaN,NaN
helmholtz,8,1024,500,2.89e-05,2.93409091e-05,NaN,NaN,NaN,NaN
helmholtz,8,4096,500,0.000120597222,0.000134291625,NaN,NaN,NaN,NaN
helmholtz,8,16384,500,0.000479646,0.000442222333,NaN,NaN,NaN,NaN
helmholtz,8,65536,500,0.001971917,0.001840209,NaN,NaN,NaN,NaN
helmholtz,16,64,500,3.97011952e-06,4.39335683e-06,NaN,NaN,NaN,NaN
helmholtz,16,256,500,1.69696271e-05,1.63053279e-05,NaN,NaN,NaN,NaN
helmholtz,16,1024,500,6.86556e-05,7.33035714e-05,NaN,NaN,NaN,NaN
helmholtz,16,4096,500,0.00028146875,0.000286573,NaN,NaN,NaN,NaN
helmholtz,16,16384,500,0.001151375,0.001102541,NaN,NaN,NaN,NaN
helmholtz,16,65536,500,0.004712042,0.004729417,NaN,NaN,NaN,NaN
helmholtz,32,64,500,8.5039569e-06,8.91220536e-06,NaN,NaN,NaN,NaN
helmholtz,32,256,500,3.653125e-05,3.64895714e-05,NaN,NaN,NaN,NaN
helmholtz,32,1024,500,0.000145511857,0.000160196429,NaN,NaN,NaN,NaN
helmholtz,32,4096,500,0.0005912915,0.0005630835,NaN,NaN,NaN,NaN
helmholtz,32,16384,500,0.002460208,0.002365625,NaN,NaN,NaN,NaN
helmholtz,32,65536,500,0.009953834,0.010013583,NaN,NaN,NaN,NaN
helmholtz,64,64,500,1.87358491e-05,1.80886364e-05,NaN,NaN,NaN,NaN
helmholtz,64,256,500,7.54881429e-05,7.66667143e-05,NaN,NaN,NaN,NaN
helmholtz,64,1024,500,0.00029940625,0.000335041667,NaN,NaN,NaN,NaN
helmholtz,64,4096,500,0.001216667,0.001148166,NaN,NaN,NaN,NaN
helmholtz,64,16384,500,0.005088083,0.005639,NaN,NaN,NaN,NaN
helmholtz,64,65536,500,0.021140292,0.020931583,NaN,NaN,NaN,NaN
helmholtz,128,64,500,3.75663333e-05,3.78811852e-05,NaN,NaN,NaN,NaN
helmholtz,128,256,500,0.000154297714,0.000155392857,NaN,NaN,NaN,NaN
helmholtz,128,1024,500,0.00060275,0.000691479,NaN,NaN,NaN,NaN
helmholtz,128,4096,500,0.002499959,0.002322042,NaN,NaN,NaN,NaN
helmholtz,128,16384,500,0.010245917,0.012538084,NaN,NaN,NaN,NaN
helmholtz,128,65536,500,0.042778833,0.042656,NaN,NaN,NaN,NaN
helmholtz,256,64,500,7.69166154e-05,7.76826923e-05,NaN,NaN,NaN,NaN
helmholtz,256,256,500,0.00032639575,0.0003185,NaN,NaN,NaN,NaN
helmholtz,256,1024,500,0.001272542,0.001397958,NaN,NaN,NaN,NaN
helmholtz,256,4096,500,0.005425833,0.005205958,NaN,NaN,NaN,NaN
helmholtz,256,16384,500,0.021213,0.020531416,NaN,NaN,NaN,NaN
helmholtz,256,65536,500,0.087558833,0.155772584,NaN,NaN,NaN,NaN
helmholtz,512,64,500,0.000161035714,0.000155904714,NaN,NaN,NaN,NaN
helmholtz,512,256,500,0.000654979,0.000647396,NaN,NaN,NaN,NaN
helmholtz,512,1024,500,0.002608625,0.002821083,NaN,NaN,NaN,NaN
helmholtz,512,4096,500,0.011019375,0.022797583,NaN,NaN,NaN,NaN
helmholtz,512,16384,500,0.043715875,0.058174875,NaN,NaN,NaN,NaN
helmholtz,512,65536,500,0.175622584,0.189062875,NaN,NaN,NaN,NaN
helmholtz,1024,64,500,0.000313125,0.000314041667,NaN,NaN,NaN,NaN
helmholtz,1024,256,500,0.001318791,0.001294875,NaN,NaN,NaN,NaN
helmholtz,1024,1024,500,0.005693583,0.005836583,NaN,NaN,NaN,NaN
helmholtz,1024,4096,500,0.023036208,0.020738333,NaN,NaN,NaN,NaN
helmholtz,1024,16384,500,0.087831667,0.087567542,NaN,NaN,NaN,NaN
helmholtz,1024,65536,500,0.347624334,0.345834791,NaN,NaN,NaN,NaN
coupled,8,64,500,5.12693299e-06,1.35547945e-05,NaN,NaN,NaN,NaN
coupled,8,256,500,2.16214468e-05,5.68426111e-05,NaN,NaN,NaN,NaN
coupled,8,1024,500,8.80868333e-05,0.00023975,NaN,NaN,NaN,NaN
coupled,8,4096,500,0.000367055667,0.0009523955,NaN,NaN,NaN,NaN
coupled,8,16384,500,0.001451958,0.003791291,NaN,NaN,NaN,NaN
coupled,8,65536,500,0.005885458,0.0155105,NaN,NaN,NaN,NaN
coupled,16,64,500,1.16165595e-05,2.97034118e-05,NaN,NaN,NaN,NaN
coupled,16,256,500,4.71170476e-05,0.000123004556,NaN,NaN,NaN,NaN
coupled,16,1024,500,0.0001929235,0.0005219585,NaN,NaN,NaN,NaN
coupled,16,4096,500,0.000804125,0.002063208,NaN,NaN,NaN,NaN
coupled,16,16384,500,0.003252166,0.008302042,NaN,NaN,NaN,NaN
coupled,16,65536,500,0.01328525,0.035187542,NaN,NaN,NaN,NaN
coupled,32,64,500,2.38204286e-05,6.281775e-05,NaN,NaN,NaN,NaN
coupled,32,256,500,9.91167e-05,0.00028640625,NaN,NaN,NaN,NaN
coupled,32,1024,500,0.000411889,0.001102125,NaN,NaN,NaN,NaN
coupled,32,4096,500,0.001650625,0.004197542,NaN,NaN,NaN,NaN
coupled,32,16384,500,0.006753292,0.017133291,NaN,NaN,NaN,NaN
coupled,32,65536,500,0.02737425,0.071583791,NaN,NaN,NaN,NaN
coupled,64,64,500,4.90674762e-05,0.000128208375,NaN,NaN,NaN,NaN
coupled,64,256,500,0.0002032,0.000523208,NaN,NaN,NaN,NaN
coupled,64,1024,500,0.0008019375,0.002189125,NaN,NaN,NaN,NaN
coupled,64,4096,500,0.003410291,0.008487125,NaN,NaN,NaN,NaN
coupled,64,16384,500,0.013524792,0.035325375,NaN,NaN,NaN,NaN
coupled,64,65536,500,0.057039834,0.1476765,NaN,NaN,NaN,NaN
coupled,128,64,500,9.9075e-05,0.00025542725,NaN,NaN,NaN,NaN
coupled,128,256,500,0.0004155,0.001059167,NaN,NaN,NaN,NaN
coupled,128,1024,500,0.001619917,0.004695459,NaN,NaN,NaN,NaN
coupled,128,4096,500,0.006827,0.017429,NaN,NaN,NaN,NaN
coupled,128,16384,500,0.027617917,0.07102875,NaN,NaN,NaN,NaN
coupled,128,65536,500,0.113700167,0.29518075,NaN,NaN,NaN,NaN
coupled,256,64,500,0.000206875,0.0005305625,NaN,NaN,NaN,NaN
coupled,256,256,500,0.000857875,0.002196125,NaN,NaN,NaN,NaN
coupled,256,1024,500,0.003422959,0.00907825,NaN,NaN,NaN,NaN
coupled,256,4096,500,0.014502667,0.041992875,NaN,NaN,NaN,NaN
coupled,256,16384,500,0.057084333,0.1621005,NaN,NaN,NaN,NaN
coupled,256,65536,500,0.230810459,0.664296375,NaN,NaN,NaN,NaN
coupled,512,64,500,0.000410416667,0.001063083,NaN,NaN,NaN,NaN
coupled,512,256,500,0.00171675,0.004675833,NaN,NaN,NaN,NaN
coupled,512,1024,500,0.006978917,0.021907417,NaN,NaN,NaN,NaN
coupled,512,4096,500,0.029313666,0.080746958,NaN,NaN,NaN,NaN
coupled,512,16384,500,0.113961875,0.331518167,NaN,NaN,NaN,NaN
coupled,512,65536,500,0.461175291,1.35753292,NaN,NaN,NaN,NaN
coupled,1024,64,500,0.0008222915,0.002123584,NaN,NaN,NaN,NaN
coupled,1024,256,500,0.003457083,0.0089255,NaN,NaN,NaN,NaN
coupled,1024,1024,500,0.015033583,0.040803458,NaN,NaN,NaN,NaN
coupled,1024,4096,500,0.060456666,0.15182075,NaN,NaN,NaN,NaN
coupled,1024,16384,500,0.231903958,0.58679,NaN,NaN,NaN,NaN
