Ny,systems,mode,median_us,allocated_bytes,speedup_vs_scalar
33,64,scalar_contiguous,18.854041,11264,1.000000
33,64,scalar_strided,24.746649,11264,0.761883
33,64,batched,3.821263,176,4.933981
33,64,roundtrip,6.253205,176,3.015100
33,64,scalar_update,17.523676,0,NaN
33,64,batched_update,53.340164,55648,NaN
33,256,scalar_contiguous,78.759929,45056,1.000000
33,256,scalar_strided,132.944458,45056,0.592427
33,256,batched,18.068024,176,4.359078
33,256,roundtrip,27.134304,176,2.902596
33,256,scalar_update,73.082372,0,NaN
33,256,batched_update,271.881917,221536,NaN
33,4096,scalar_contiguous,1370.972000,720896,1.000000
33,4096,scalar_strided,5527.917000,720896,0.248009
33,4096,batched,327.120333,176,4.191033
33,4096,roundtrip,601.225000,176,2.280298
33,4096,scalar_update,1246.097000,0,NaN
33,4096,batched_update,11917.958000,3539296,NaN
65,64,scalar_contiguous,40.674816,11264,1.000000
65,64,scalar_strided,63.490326,11264,0.640646
65,64,batched,8.195788,176,4.962893
65,64,roundtrip,12.696176,176,3.203706
65,64,scalar_update,38.659810,0,NaN
65,64,batched_update,94.367424,55648,NaN
65,256,scalar_contiguous,171.806818,45056,1.000000
65,256,scalar_strided,322.291700,45056,0.533079
65,256,batched,36.906500,176,4.655191
65,256,roundtrip,55.410500,176,3.100618
65,256,scalar_update,164.262500,0,NaN
65,256,batched_update,720.433200,221536,NaN
65,4096,scalar_contiguous,2795.208000,720896,1.000000
65,4096,scalar_strided,11377.292000,720896,0.245683
65,4096,batched,674.866800,176,4.141866
65,4096,roundtrip,1565.937500,176,1.785006
65,4096,scalar_update,2711.562500,0,NaN
65,4096,batched_update,23466.708000,3539296,NaN
129,64,scalar_contiguous,82.096500,11264,1.000000
129,64,scalar_strided,138.051571,11264,0.594680
129,64,batched,16.750954,176,4.901004
129,64,roundtrip,25.929595,176,3.166131
129,64,scalar_update,79.021359,0,NaN
129,64,batched_update,215.188867,55648,NaN
129,256,scalar_contiguous,336.866600,45056,1.000000
129,256,scalar_strided,677.700000,45056,0.497073
129,256,batched,75.610425,176,4.455293
129,256,roundtrip,128.994792,176,2.611474
129,256,scalar_update,319.566700,0,NaN
129,256,batched_update,1605.250000,221536,NaN
129,4096,scalar_contiguous,6617.333000,720896,1.000000
129,4096,scalar_strided,38059.125000,720896,0.173870
129,4096,batched,1377.666667,176,4.803290
129,4096,roundtrip,3635.625000,176,1.820136
129,4096,scalar_update,6235.959000,0,NaN
129,4096,batched_update,47425.042000,3539296,NaN
