Ny,M,nsystems,mode,median_us,allocated_bytes,speedup_vs_scalar
33,17,256,scalar,25.308,0,1.000
33,17,256,packed,8.564,0,2.955
33,17,256,roundtrip,13.580,0,1.864
33,17,4096,scalar,440.851,0,1.000
33,17,4096,packed,147.949,0,2.980
33,17,4096,roundtrip,267.921,0,1.645
65,33,256,scalar,65.724,0,1.000
65,33,256,packed,18.120,0,3.627
65,33,256,roundtrip,26.179,0,2.511
65,33,4096,scalar,1118.383,0,1.000
65,33,4096,packed,296.591,0,3.771
65,33,4096,roundtrip,582.005,0,1.922
129,65,256,scalar,154.951,0,1.000
129,65,256,packed,35.267,0,4.394
129,65,256,roundtrip,55.146,0,2.810
129,65,4096,scalar,2668.209,0,1.000
129,65,4096,packed,596.417,0,4.474
129,65,4096,roundtrip,1466.614,0,1.819
